	sub	emotion	tk	intensity	score
457	16	disgust	Matsumoto2008	1	0.548846960167715
458	16	fear	Matsumoto2008	1	0.6283813747228381
459	16	happy	Matsumoto2008	1	0.6480775193798449
460	16	sadness	Matsumoto2008	1	0.5194658517140579
461	16	surprise	Matsumoto2008	1	0.7058857808857809
462	16	anger	Keltner2019	1	0.5597123464770524
463	16	disgust	Keltner2019	1	0.4726265348906858
464	16	fear	Keltner2019	1	0.655210643015521
465	16	happy	Keltner2019	1	0.6134728682170543
466	16	sadness	Keltner2019	1	0.509115067765081
467	16	surprise	Keltner2019	1	0.6868686868686869
468	16	anger	Cordaro2008ref	1	0.6066580478345184
469	16	disgust	Cordaro2008ref	1	0.5126085654387541
470	16	fear	Cordaro2008ref	1	0.6200665188470067
471	16	happy	Cordaro2008ref	1	0.6279534883720931
472	16	sadness	Cordaro2008ref	1	0.4543449375498273
473	16	surprise	Cordaro2008ref	1	0.6716394716394717
474	16	anger	Ekman	1	0.6322990734755441
475	16	disgust	Ekman	1	0.5684486373165618
476	16	fear	Ekman	1	0.5414634146341464
477	16	happy	Ekman	1	0.6605271317829458
478	16	sadness	Ekman	1	0.528926388519798
479	16	surprise	Ekman	1	0.6867132867132868
480	17	anger	Darwin	1	0.5679877188029362
481	17	disgust	Darwin	1	0.5302737647082011
482	17	fear	Darwin	1	0.4932201687424668
483	17	happy	Darwin	1	0.6400032092426188
484	17	sadness	Darwin	1	0.5099897238927915
485	17	surprise	Darwin	1	0.7070483870967742
486	17	anger	Matsumoto2008	1	0.5237330604178431
487	17	disgust	Matsumoto2008	1	0.5689930425527722
488	17	fear	Matsumoto2008	1	0.5020590598633989
489	17	happy	Matsumoto2008	1	0.6248796534017971
490	17	sadness	Matsumoto2008	1	0.49727093546267753
491	17	surprise	Matsumoto2008	1	0.7020322580645162
492	17	anger	Keltner2019	1	0.4642151326933936
493	17	disgust	Keltner2019	1	0.548751404300609
494	17	fear	Keltner2019	1	0.4655986339895541
495	17	happy	Keltner2019	1	0.5891367137355585
496	17	sadness	Keltner2019	1	0.5339785380974039
497	17	surprise	Keltner2019	1	0.6894193548387096
498	17	anger	Cordaro2008ref	1	0.5563064652738565
499	17	disgust	Cordaro2008ref	1	0.5685889981670181
500	17	fear	Cordaro2008ref	1	0.4766472478907192
501	17	happy	Cordaro2008ref	1	0.6102615532734276
502	17	sadness	Cordaro2008ref	1	0.4770051043614494
503	17	surprise	Cordaro2008ref	1	0.7143225806451614
504	17	anger	Ekman	1	0.5986730660643704
505	17	disgust	Ekman	1	0.5686579813548298
506	17	fear	Ekman	1	0.4904580152671756
507	17	happy	Ekman	1	0.635341784338896
508	17	sadness	Ekman	1	0.540759084247233
509	17	surprise	Ekman	1	0.6935967741935485
510	18	anger	Darwin	1	0.5993856821361231
511	18	disgust	Darwin	1	0.5806176203451408
512	18	fear	Darwin	1	0.541825296108291
513	18	happy	Darwin	1	0.637085137085137
514	18	sadness	Darwin	1	0.48931895093062605
515	18	surprise	Darwin	1	0.7710601544918193
516	18	anger	Matsumoto2008	1	0.6282464570281613
517	18	disgust	Matsumoto2008	1	0.5781108083560399
518	18	fear	Matsumoto2008	1	0.5939350676818951
519	18	happy	Matsumoto2008	1	0.6319823493736537
520	18	sadness	Matsumoto2008	1	0.5613895939086294
521	18	surprise	Matsumoto2008	1	0.76658962350222
522	18	anger	Keltner2019	1	0.6652879995134117
523	18	disgust	Keltner2019	1	0.4878837420526794
524	18	fear	Keltner2019	1	0.5772260998307953
525	18	happy	Keltner2019	1	0.6260953217474956
526	18	sadness	Keltner2019	1	0.5638219120135364
527	18	surprise	Keltner2019	1	0.7439024390243902
528	18	anger	Cordaro2008ref	1	0.5834195000304118
529	18	disgust	Cordaro2008ref	1	0.541180744777475
530	18	fear	Cordaro2008ref	1	0.584813874788494
531	18	happy	Cordaro2008ref	1	0.6078800426626512
532	18	sadness	Cordaro2008ref	1	0.4873096446700508
